id,title,imageSrc,url,cookTime,carbohydrates,fat,protein,calories,like,dislike
2021,"Strawberry Banana ""Ice Cream""",https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/2021-diabetic-dessert-strawberry-banana-ice-cream_diabetes-cookbook_081618_1021x779_28501105.jpg,https://www.diabetesfoodhub.org/recipes/strawberry-banana-ice-cream.html?home-category_id=20,,19.0,0.0,1.0,80.0,72.0,6.0
450,Roasted Chicken Breasts,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/450-diabetic-roasted-chicken-breast_shutterstock332807894_012919_28501105.jpg,https://www.diabetesfoodhub.org/recipes/roasted-chicken-breasts.html?home-category_id=20,,3.0,6.0,24.0,170.0,51.0,4.0
2018,Beef and Broccoli over Zucchini Noodles,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/2018-diabetic-beef-broccoli-zucchini-noodles-zoodles_diabetes-cookbook_030121_28501105.jpg,https://www.diabetesfoodhub.org/recipes/beef-and-broccoli-over-zucchini-noodles.html?home-category_id=20,10 min,15.0,9.0,29.0,250.0,34.0,5.0
492,Simple Summer Cucumber and Tomato Salad,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/492-diabetic-simple-summer-cucumber-tomato-salad_082418_1021x779_28501105.jpg,https://www.diabetesfoodhub.org/recipes/simple-summer-cucumber-and-tomato-salad.html?home-category_id=20,,4.0,5.0,1.0,70.0,129.0,11.0
3456,Breakfast Cookies,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/Splenda_Recipes_REV0419_BreakfastCookies_Glow_28501105.jpg,https://www.diabetesfoodhub.org/recipes/breakfast-cookies.html?home-category_id=20,,33.0,12.0,11.0,270.0,17.0,20.0
941,Guilt-Free Breakfast Sausage Patties,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/diabetic-guilt-free-breakfast-sausage-patties_MFTK-comfort-favorites_082218_1021x779_28501105.jpg,https://www.diabetesfoodhub.org/recipes/guilt-free-breakfast-sausage-patties.html?home-category_id=20,10 min,1.0,4.5,12.0,100.0,40.0,5.0
6,"Banana Chocolate ""Ice Cream""",https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/Recid_6_Banana_Chocolate_Ice_Cream_iStock_03012018_3634377416.jpg,https://www.diabetesfoodhub.org/recipes/banana-chocolate-ice-cream.html?home-category_id=20,35 min,18.0,0.5,2.0,80.0,18.0,2.0
601,Zucchini Pizza,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/Recid_601_Zucchini_Pizza_PNCImages_03012018_3995916988.jpg,https://www.diabetesfoodhub.org/recipes/zucchini-pizza.html?home-category_id=20,40 min,10.0,6.0,10.0,130.0,10.0,0.0
819,Ronaldo’s Cuban Sandwich,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/RecId_819_CubanoSandwich_SaboresDeCuba_022618_544486295.jpg,https://www.diabetesfoodhub.org/recipes/ronaldo’s-cuban-sandwich.html?home-category_id=20,18 min,16.0,6.0,20.0,190.0,7.0,0.0
497,Slow-Cooker Chicken Fajita Burritos,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/497-diabetic-slow-cooker-chicken-burrito_AdobeStock_270329086_022621_28501105.jpg,https://www.diabetesfoodhub.org/recipes/slow-cooker-chicken-fajita-burritos.html?home-category_id=20,6 hr,33.0,7.0,29.0,260.0,28.0,1.0
623,Blueberry Yogurt Lemon Bars,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/RecId_623_BlueberryYogurtLemonBars_HibiscusCitrusBerryCooler_WholeCooking_022618_544486295.jpg,https://www.diabetesfoodhub.org/recipes/blueberry-yogurt-lemon-bars.html?home-category_id=20,45 min,10.0,4.0,4.0,90.0,13.0,2.0
347,Marinated Grilled Salmon - Foodie Recipe,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/ThinkstockPhotos-509422213_3702247781.jpg,https://www.diabetesfoodhub.org/recipes/marinated-grilled-salmon-foodie-recipe.html?home-category_id=20,,2.0,12.0,26.0,225.0,20.0,0.0
160,Chicken Caesar Salad Lunch Wraps,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/160-diabetic-chicken-caesar-salad-lunch-wraps_Diabetes-Cookbook_DF_101818_1021x779_28501105.jpg,https://www.diabetesfoodhub.org/recipes/chicken-caesar-salad-lunch-wraps.html?home-category_id=20,,21.0,9.0,25.0,220.0,18.0,3.0
333,Kid-Friendly Meatballs,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/Recid_333_Kid-Friendly_Meatballs_iStock-175542555_02282018_28501105.jpg,https://www.diabetesfoodhub.org/recipes/kid-friendly-meatballs.html?home-category_id=20,45 min,8.0,4.5,10.0,110.0,10.0,2.0
1837,Pecan-Crusted Chicken Breast,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/1837-diabetic-pecan-crusted-chicken-breast_JulAug20DF_clean-simple_061720_28501105.jpg,https://www.diabetesfoodhub.org/recipes/pecan-crusted-chicken-breast.html?home-category_id=20,20 min,3.0,15.0,37.0,300.0,9.0,0.0
2024,Microwave Egg and Veggie Jars,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/2024-Microwave-Breakfast-Cups_DaVita_040121_28501105.jpg,https://www.diabetesfoodhub.org/recipes/microwave-egg-and-veggie-jars.html?home-category_id=20,2 min,3.0,18.0,20.0,260.0,22.0,5.0
